GRB,GRB -ray poition,Error,Intrument,IPNb,Ab,OTb,RAb,IAUC,zc
GRB090429B,14h02m49 +32° 10',3,Swift,,y,y,,,9.2ph
GRB90426,12h36m22 +32° 58',3,Swift,,y,y,,,2.609
GRB090424,12h38m09 +16° 50',3,Swift,y,y,y,y,,0.544
GRB090423,09h55m35 +18° 07',3,Swift,y,y,y,y,,8.26
GRB090418,17h57m20 +33° 25',3,Swift,,y,y,y,,1.608
GRB090417B,13h58m49 +47° 00',3,Swift,,y,,,,0.345
GRB090407,04h35m50 -12° 40',3,Swift,,y,,,,1.4485
GRB090404,15h56m52 +35° 30',3,Swift,,y,,,,3.0ph
GRB090328,06h03m29 -41° 57',9,Fermi,y,y,y,y,,0.736
GRB090323,12h42m46 +17° 05',8,Fermi,y,y,y,y,,3.57
GRB090313,13h13m35 +08° 06',3,Swift,,y,y,y,,3.375
GRB090205,14h43m42 -27° 52',3,Swift,,y,y,n,,4.6497
GRB090201,06h08m07 -46° 35',3,Swift,y,y,,n,,2.1
GRB090113,02h08m18 +33° 27',3,Swift,,y,y,,,1.7493
GRB090102,08h33m02 +33° 05',3,Swift,y,y,y,n,,1.547
GRB081230,02h29m16 -25° 08',3,Swift,,y,y,,,2.0ph
GRB081228,02h37m52 +30° 51',3,Swift,,y,y,,,3.44ph
GRB081222,01h31m00 -34° 08',3,Swift,y,y,y,,,2.77
GRB081221,01h03m13 -24° 32',3,Swift,y,y,y,y,,2.26
GRB081210,04h41m50 -11° 16',3,Swift,,y,y,,,2.0631
GRB081203,15h32m08 +63° 30',3,Swift,y,y,y,n,,2.05
GRB081128,01h23m12 +38° 07',3,Swift,,y,y,,,<4
GRB081121,05h57m03 -60° 38',3,Swift,y,y,y,,,2.512
GRB081118,05h30m22 -43° 18',3,Swift,,y,y,,,2.58
GRB081109,22h03m09 -54° 43',3,Swift,,y,y,n,,0.9787
GRB081029,23h06m49 -68° 10',3,Swift,,y,y,,,3.8479
GRB081028,08h07m34 +02° 19',3,Swift,,y,y,,,3.038
GRB081008,18h39m57 -57° 28',3,Swift,,y,y,n,,1.9685
GRB081007,22h39m54 -40° 08',3,Swift,y,y,y,y,,0.5295
GRB080928,06h20m20 -55° 10',3,Swift,y,y,y,,,1.692
GRB080916C,07h59m31 -56° 35',10',Fermi,y,y,y,,,4.35ph
GRB080916,22h25m12 -57° 01',3',Swift,y,y,y,,,0.689
GRB080913,04h22m54 -25° 07',3',Swift,y,y,y,,,6.695
GRB080906,15h11m34 -80° 29',3',Swift,,y,y,,,2.1ph
GRB080905B,20h06m53 -62° 34',3',Swift,y,y,y,,,2.374
GRB080905,19h10m39 -18° 53',3',Swift,y,y,y,,,0.1218h
GRB080825B,13h57m08 -68° 57',3',AGILE,y,y,y,,,4.3ph
GRB080810,23h47m07 +00° 19',3',Swift,y,y,y,y,,3.35
GRB080805,20h56m55 -62° 26',3',Swift,,y,y,,,1.505
GRB080804,21h54m48 -53° 12',3',Swift,y,y,y,,,2.2045
GRB080721,14h57m53 -11° 43',3',Swift,y,y,y,n,,2.591
GRB080710,00h33m02 +19° 30',3',Swift,,y,y,,,0.845
GRB080707,02h10m32 +33° 09',3',Swift,,y,y,,,1.23
GRB080703,06h47m28 -63° 13',3',Swift,,y,y,,,<5.5
GRB080607,12h59m52 +15° 54',3',Swift,y,y,y,,,3.036
GRB080605,17h28m31 +04° 00',3',Swift,y,y,y,,,1.6398
GRB080604,15h47m53 +20° 33',3',Swift,,y,y,n,,1.416
GRB080603B,11h46m07 +68° 05',3',Swift,y,y,y,n,,2.69
GRB080603,18h37m31 +62° 44',3',INTEGRAL,,y,y,y,,1.688
GRB080602,01h16m41 -09° 15',3',Swift,y,y,n,,,1.8204
GRB080523,01h22m56 -64° 03',3',Swift,,y,y,n,,<3.0
GRB080520,18h40m46 -55° 00',3',Swift,,y,y,n,,1.545
GRB080517,06h49m01 +50° 44',3',Swift,,y,,,,0.089
GRB080515,00h12m36 +32° 36',3',Swift,,y,y,,,2.47
GRB080514B,21h31m17 +00° 44',17'*6',AGILE/IPN,y,y,y,,,1.8ph
GRB080430,11h01m17 +51° 41',3',Swift,,y,y,n,,0.767
GRB080413B,21h44m32 -19° 58',3',Swift,y,y,y,n,,1.1
GRB080413,19h09m10 -27° 41',3',Swift,y,y,y,,,2.433
GRB080411,02h32m04 -71° 20',3',Swift,y,y,y,n,,1.03
GRB080330,11h17m12 +30° 34',3',Swift,,y,y,,,1.51
GRB080325,18h31m35 +36° 31',3',Swift,,y,y,,,1.78
GRB080320,11h51m07 +57° 09',3',Swift,,y,y,,,<6.4
GRB080319C,17h15m54 +55° 25',3',Swift,y,y,y,,,1.95
GRB080319B,14h31m42 +36° 18',3',Swift,y,y,y,y,,0.937
GRB080319,13h45m25 +44° 05',3',Swift,,y,y,,,2.0265
GRB080310,14h40m19 -00° 10',3',Swift,,y,y,,,2.42
GRB080307,09h06m32 +35° 10',3',Swift,,y,n,,,<6.1
GRB080212,15h24m26 -22° 45',3',Swift,,y,y,n,,<3.5
GRB080210,16h45m05 +13° 50',3',Swift,,y,y,n,,2.641
GRB080207,13h50m03 +07° 31',3',Swift,,y,,,,2.0858
GRB080205,06h32m53 +62° 46',3',Swift,,y,y,n,,2.72ph
GRB080129,07h01m07 -07° 50',3',Swift,,y,y,,,4.349
GRB080123,22h35m43 -64° 53',3',Swift,y,y,,,,0.495h
GRB071227,03h52m29 -55° 57',3',Swift,y,y,y,,,0.383h
GRB071122,18h26m20 +47° 04',3',Swift,,y,y,y,,1.14
GRB071117,22h20m38 -63° 26',3',Swift,y,y,y,,,1.331
GRB071112C,02h36m53 +28° 23',3',Swift,,y,y,n,,0.823
GRB071031,00h25m50 -58° 03',3',Swift,,y,y,,,2.692
GRB071025,23h40m20 +31° 45',3',Swift,,y,y,,,5.2
GRB071021,22h42m33 +23° 40',3',Swift,,y,y,,,2.452
GRB071020,07h58m39 +32° 52',3',Swift,y,y,y,y,,2.145
GRB071010B,10h02m07 +45° 44',3',Swift,y,y,y,y,,0.947
GRB071010,19h12m24 -32° 23',3',Swift,,y,y,n,,0.98
GRB071003,20h07m25 +10° 58',3',Swift,y,y,y,y,,1.60435
GRB070810,12h39m53 +10° 44',3',Swift,,y,y,,,2.17
GRB070809,13h35m08 -22° 08',3',Swift,,y,y,,,0.2187h
GRB070808,00h27m04 +01° 10',3',Swift,,y,,,,<2.2
GRB070802,02h27m24 -55° 32',3',Swift,,y,y,,,2.45
GRB070724,01h51m16 -18° 37',3',Swift,,y,,,,0.457h
GRB070721B,02h12m31 -02° 11',3',Swift,,y,y,n,,3.626
GRB070714B,03h51m25 +28° 18',3',Swift,y,y,y,n,,0.92h
GRB070714,02h51m44 +30° 14',3',Swift,,y,,,,1.58
GRB070621,21h35m13 -24° 48',3',Swift,,y,,,,<5.5
GRB070612,08h05m32 +37° 16',3',Swift,,,y,y,,0.617
GRB070611,00h07m57 -29° 45',3',Swift,,y,y,,,2.04
GRB070529,18h55m00 +20° 38',3',Swift,,y,y,,,2.4996
GRB070521,16h10m41 +30° 14',3',Swift,y,y,,,,2.0865
GRB070518,16h56m54 +55° 18',3',Swift,,y,y,n,,1.161?
GRB070508,20h51m08 -78° 22',3',Swift,y,y,y,,,<3.0
GRB070506,23h08m52 +10° 44',3',Swift,,y,y,,,2.31
GRB070429B,21h52m06 -38° 51',3',Swift,,y,,n,,0.904h
GRB070419B,21h02m52 -31° 16',3',Swift,y,y,y,,,1.9591
GRB070419,12h10m51 +39° 54',3',Swift,,y,y,,,0.97
GRB070411,07h09m21 +01° 05',3',Swift,,y,y,,,2.954
GRB070330,17h58m05 -63° 47',3',Swift,,y,y,,,<5.5
GRB070328,04h20m28 -34° 04',3',Swift,y,y,,,,2.0627
GRB070318,03h14m10 -42° 58',3',Swift,,y,y,,,0.836
GRB070306,09h52m20 +10° 28',3',Swift,,y,y,n,,1.4959
GRB070224,11h55m58 -13° 20',3',Swift,,y,y,n,,1.9922
GRB070223,10h13m49 +43° 07',3',Swift,,y,y,,,1.6295
GRB070208,13h11m41 +61° 58',3',Swift,,y,y,,,1.165
GRB070129,02h28m03 +11° 43',3',Swift,,y,y,,,2.3384
GRB070125,07h51m24 +31° 08',3',IPN,y,y,y,y,,1.547
GRB070110,00h03m38 -52° 58',3',Swift,,y,y,,,2.352
GRB070103,23h30m14 +26° 53',3',Swift,,y,,,,2.6208
GRB061222B,07h01m26 -25° 51',3',Swift,,y,y,n,,3.355
GRB061222,23h52m58 +46° 32',3',Swift,y,y,y,y,,2.088
GRB061217,10h41m46 -21° 07',3',Swift,,y,,,,0.827h
GRB061210,09h38m03 +15° 38',3',Swift,,y,,n,,0.4095h
GRB061202,07h02m34 -74° 40',3',Swift,,y,,,,2.2543
GRB061201,22h07m53 -74° 36',3',Swift,y,y,y,,,0.111h
GRB061126,05h46m30 +64° 11',3',Swift,y,y,y,n,,1.1588
GRB061121,09h49m00 -13° 11',3',Swift,y,y,y,y,,1.314
GRB061110B,21h35m36 +06° 53',3',Swift,,y,y,,,3.44
GRB061110,22h25m13 -02° 16',3',Swift,,y,y,,,0.758
GRB061021,09h40m32 -21° 56',3',Swift,y,y,y,,,0.3463
GRB061007,03h05m16 -50° 29',3',Swift,y,y,y,n,,1.261
GRB061006,07h24m22 -79° 12',3',Swift,y,y,y,,,0.4377h
GRB060927,21h58m13 +05° 21',3',Swift,,y,y,,,5.47
GRB060926,17h35m49 +13° 02',3',Swift,,y,y,,,3.2
GRB060923C,23h04m30 +03° 57',3',Swift,,y,y,n,,<11
GRB060923B,15h52m48 -30° 54',3',Swift,,y,,,,1.5094
GRB060923,16h58m30 +12° 23',3',Swift,,y,y,n,,<2.8
GRB060912,00h21m09 +20° 58',3',Swift,y,y,y,n,,0.937
GRB060908,02h07m20 +00° 22',3',Swift,y,y,y,n,,1.8836
GRB060906,02h43m00 +30° 21',3',Swift,,y,y,,,3.686
GRB060904B,03h52m51 -00° 43',3',Swift,,y,y,,,0.703
GRB060814,14h45m23 +20° 35',3',Swift,y,y,y,,,1.9229
GRB060807,16h50m07 +31° 35',3',Swift,,y,y,,,<3.4
GRB060805,14h43m41 +12° 36',3',Swift,,y,,,,2.3633
GRB060801,14h12m06 +16° 59',3',Swift,,y,,,,1.131h
GRB060729,06h21m21 -62° 21',3',Swift,,y,y,,,0.54
GRB060719,01h13m49 -48° 22',3',Swift,,y,y,n,,1.532
GRB060714,15h11m29 -06° 33',3',Swift,,y,y,,,2.711
GRB060708,00h31m12 -33° 44',3',Swift,,y,y,,,1.92
GRB060707,23h48m19 -17° 55',3',Swift,,y,y,n,,3.425
GRB060614,21h23m27 -53° 02',3',Swift,y,y,y,,,0.125
GRB060607,21h58m51 -22° 30',3',Swift,,y,y,,,3.0749
GRB060605,21h28m35 -06° 04',3',Swift,,y,y,n,,3.78
GRB060604,22h28m58 -10° 54',3',Swift,,y,y,n,,2.1357
GRB060602,09h58m18 +00° 19',3',Swift,,y,y,,,0.787?
GRB060526,15h31m23 +00° 15',3',Swift,,y,y,,,3.221
GRB060522,21h31m48 +02° 53',3',Swift,,y,y,n,,5.11
GRB060512,13h03m05 +41° 13',3',Swift,,y,y,,,2.1
GRB060510B,15h56m34 +78° 34',3',Swift,,y,y,,,4.94
GRB060505,22h07m04 -27° 49',3',Swift,,y,y,,,0.089
GRB060502B,18h35m45 +52° 38',3',Swift,,y,,,,0.287h
GRB060502,16h03m26 +66° 36',3',Swift,,y,y,,,1.51
GRB060418,15h45m41 -03° 39',3',Swift,y,y,y,,,1.489
GRB060319,11h45m29 +59° 59',3',Swift,,y,y,,,1.172
GRB060313,04h26m26 -10° 52',3',Swift,y,y,y,,,<1.1ul
GRB060306,02h44m24 -02° 09',3',Swift,,y,,,,1.559
GRB060223,03h40m52 -17° 08',3',Swift,,y,y,,,4.41
GRB060218,03h21m37 +16° 52',3',Swift,,y,y,y,8674,0.0331
GRB060210,03h50m55 +27° 02',3',Swift,,y,y,n,,3.91
GRB060206,13h31m47 +35° 04',3',Swift,,y,y,n,,4.048
GRB060204B,14h07m11 +27° 41',3',Swift,,y,y,,,2.3393
GRB060202,02h23m22 +38° 22',3',Swift,,y,,,,0.783
GRB060124,05h08m10 +69° 43',3',Swift,y,y,y,n,,2.296
GRB060123,11h59m00 +45° 31',3',Swift,,y,,,,0.56
GRB060115,03h36m11 +17° 21',3',Swift,,y,y,,,3.53
GRB060111,18h24m51 +37° 36',3',Swift,,y,y,,,2.32
GRB060108,09h47m58 +31° 55',3',Swift,,y,y,,,2.0ph
GRB051227,08h21m05 +31° 56',3',Swift,,y,y,,,0.8h
GRB051221,21h54m51 +16° 54',3',Swift,y,y,y,y,,0.5465h
GRB051210,22h00m47 -57° 38',3',Swift,,y,,,,2.5phh
GRB051117B,05h40m54 -19° 15',3',Swift,,y,,,,0.481
GRB051111,23h12m38 +18° 20',4',Swift,,y,y,y,,1.55
GRB051109B,23h01m46 +38° 40',4',Swift,,y,,,,0.08?
GRB051109,22h01m11 +40° 50',4',Swift,y,y,y,y,,2.346
GRB051022,23h56m00 +19° 36',2.5',HETE,y,y,,y,,0.809
GRB051016B,08h48m16 +13° 39',4',Swift,,y,y,,,0.9364
GRB051008,13h31m29 +42° 05',4',Swift,y,y,,,,2.77
GRB051006,07h23m19 +09° 32',4',Swift,,y,y,,,1.059
GRB051001,23h23m53 -31° 32',4',Swift,,y,,,,2.4296
GRB050922C,21h09m34 -08° 46',4',Swift,y,y,y,,,2.198
GRB050922B,00h23m12 -05° 36',4',Swift,,y,,,,4.5ph
GRB050915,05h26m51 -28° 02',4',Swift,,y,y,,,2.5273
GRB050908,01h21m51 -12° 58',4',Swift,,y,y,,,3.344
GRB050904,00h54m41 +14° 08',4',Swift,,y,y,y,,6.29
GRB050826,05h50m55 -02° 41',4',Swift,,y,y,,,0.297
GRB050824,00h48m57 +22° 36',4',Swift,,y,y,,,0.83
GRB050822,03h24m19 -46° 01',4',Swift,,y,,,,1.434
GRB050820,22h29m36 +19° 35',4',Swift,y,y,y,y,,2.612
GRB050819,23h54m56 +24° 51',4',Swift,,y,,,,2.5043
GRB050814,17h36m49 +46° 20',4',Swift,,y,y,,,5.77
GRB050803,23h22m36 +05° 48',4',Swift,,y,,,,3.5ph
GRB050802,14h37m09 +27° 48',4',Swift,,y,y,,,1.71?
GRB050801,13h36m33 -21° 57',4',Swift,,y,y,,,1.38
GRB050730,14h08m16 -03° 46',4',Swift,,y,y,y,,3.967
GRB050726,13h20m12 -32° 04',4',Swift,,y,,,,<3.5
GRB050724,16h24m51 -27° 31',4',Swift,,y,y,y,,0.258h
GRB050714B,11h18m47 -15° 32',4',Swift,,y,,,,2.4383
GRB050713,21h22m09 +77° 04',4',Swift,y,y,y,,,<3.6
GRB050709,23h01m30 -38° 59',1.'3,HETE,,y,y,,,0.1606h
GRB050525,18h32m35 +26° 20',4',Swift,y,y,y,y,,0.606
GRB050509B,12h36m13 +29° 00',4',Swift,,y,,,,0.226h
GRB050505,09h27m08 +30° 15',4',Swift,,y,y,,,4.27
GRB050502B,09h30m10 +17° 00',4',Swift,,y,y,,,5.2ph
GRB050502,13h29m46 +42° 40',3',INTEGRAL,,,y,,,3.793
GRB050416,12h33m55 +21° 03',4',Swift,,y,y,y,,0.6535
GRB050408,12h01m55 +10° 52',2.5',HETE,,y,y,,,1.2357
GRB050401,16h31m31 +02° 11',4',Swift,y,y,y,y,,2.9
GRB050319,10h16m38 +43° 34',4',Swift,,y,y,n,,3.24
GRB050318,03h18m43 -46° 24',4',Swift,,y,y,,,1.44
GRB050315,20h25m53 -42° 35',4',Swift,,y,y,y,,1.949
GRB050223,18h05m32 -62° 30',4',Swift,,y,,,,0.5915
GRB050219,11h05m38 -40° 41',4',Swift,,y,,,,0.211?
GRB050215B,11h37m48 +40° 48',4',Swift,,y,y,,,2.62
GRB050128,14h38m21 -34° 46',3',Swift,,y,,,,<5.5
GRB050126,18h32m27 +42° 23',4',Swift,,y,y,,,1.29
GRB041219,00h24m26 +62° 50',2',INTEGRAL,,,y,y,,0.3
GRB041006,00h54m53 +01° 12',5',HETE,,y,y,,,0.716
GRB040924,02h06m19 +16° 01',6',HETE,y,,y,n,,0.859
GRB040912,23h56m54 -01° 00',7',HETE,,y,,n,,1.563
GRB031203,08h02m30 -39° 51',2.5',INTEGRAL,,y,y,y,"8250, 8308",0.105
GRB030528,17h04m02 -22° 39',2',HETE,,y,y,,,0.782
GRB030429,12h13m06 -20° 56',2',HETE,,,y,,,2.65
GRB030329,10h44m50 +21° 31',2',HETE,,y,y,y,8101,0.168
GRB030328,12h10m46 -09° 22',2',HETE,,y,y,,,1.52
GRB030323,11h06m06 -21° 54',12',HETE,,,y,,,3.372
GRB030226,11h33m05 +25° 54',2',HETE,,y,y,,,1.98
GRB021211,08h08m55 +06° 44',14',HETE,,,y,,,1.01
GRB021004,00h26m56 +18° 56',2',HETE,,y,y,y,,2.33
GRB020903,22h49m01 -20° 56',16',HETE,,,y,y,,0.25
GRB020819B,23h27m24 +06° 16',2',HETE,y,,,y,,1.9621
GRB020813,19h46m38 -19° 35',1',HETE,y,y,y,y,,1.25
GRB020405,13h58m10 -31° 23',15'*5',Uly/MO/A,y,,y,y,,0.69
GRB020305,12h43m03 -14° 33',25',HETE,y,,y,,,0.2?
GRB020127,08h15m06 +36° 44',8',HETE,y,y,,y,,1.9ph
GRB020124,09h33m08 -11° 35',19',HETE,y,,y,,,3.198
GRB011211,11h15m16 -21° 56',1',A/WFC,,y,y,,,2.14
GRB011121,11h34m25 -76° 02',2',A/WFC,y,y,y,y,,0.36
GRB011030,20h43m35 +77° 17',2',A/WFC,,,,y,,<3
GRB0010921,22h55m35 +40° 56',20*15',HE/Uly/A,y,,y,y,,0.45
GRB0010222,14h52m12 +43° 01',2.5',A/WFC,,y,y,y,,1.477
GRB000926,17h04m15 +51° 46',3'*10',Uly/Ko/NE,y,y,y,y,,2.066
GRB000911,02h18m42 +07° 48',3'*10',Uly/Ko/NE,y,,y,y,,1.058
GRB000418,12h25m21 +20° 05',4'*8',Uly/KO/NE,y,,y,y,,1.118
GRB000301C,16h20m22 +29° 25',6'*8',AM/Uly,y,,y,y,,2.03
GRB000214,18h54m18 -66° 27',8',A/WFC,y,y,,,,0.37-0.47
GRB000210,01h59m15 -40° 40',3',A/WFC,y,y,,y,,0.8463
GRB000131,06h13m33 -51° 56',3.5'*16',Uly/KO/NE,y,,y,,,4.5
GRB991216,05h19m31 +11° 11',3'*5',BAT/PCA,y,y,y,y,,1.02?
GRB991208,16h33m55 +46° 26',14*1',Uly/KO/NE,y,,y,y,,0.706
GRB990712,22h31m50 -73° 24',2',A/WFC,,,y,n,7221,0.434
GRB990705,05h09m32 -72° 09',6',A/WFC,y,y,y,n,7218,0.842
GRB990510,13h38m06 -80° 30',3',A/WFC,y,y,y,y,7160,1.619
GRB990506,11h54m41 -26° 45',7',BAT/PCA,y,y,,y,-,1.3
GRB990123,15h25m29 +44° 45',2',A/WFC,y,y,y,y,7095,1.6
GRB980703,23h59m07 +08° 35.6',4',RTE/AM,,y,y,y,6966,0.966
GRB980613,10h17m46 +71° 29.9',4',A/WFC,,y,y,n,6938,1.096
GRB980425,19h34m54 -52° 49.9',8',A/WFC,,y,N,y,6884,0.0085
GRB980329,07h02m41 +38° 50.7',3',A/WFC,y,y,y,y,6853,3.5ph
GRB980326,08h36m26 -18° 53.0',8',A/WFC,y,?,y,n,6851,1?
GRB971214,11h56m30 +65° 12.0',4',A/WFC,y,y,y,n,"6787, 6789",3.42
GRB970828,18h08m29 +59° 18.0',2.5'*1',RTE/AM,y,y,n,y,"6726, 6728",0.9578
GRB970508,06h53m28 +79° 17.4',3',A/WFC,,y,y,y,"6649, 6654",0.835
GRB970228,05h01m57 +11° 46.4',3',A/WFC,y,y,y,n,6572,0.695
