GRB,GRB -ray poition,Error,Intrument,IPNb,Ab,OTb,RAb,IAUC,zc
GRB180703A,00h26m10 -67° 05',18,Fermi,y,y,y,,,0.6678
GRB180624A,21h12m17 -02° 20',3,Swift,,y,y,,,2.855
GRB180620B,23h50m04 -57° 57',3,Swift,y,y,y,,,1.1175
GRB180618A,11h19m45 +73° 51',3,Swift,y,y,y,,,0.544h
GRB180510B,05h11m57 -62° 20',3,Swift,,y,y,,,1.305
GRB180418A,11h20m27 +24° 57',3,Swift,y,y,y,,,1.55phh
GRB180404A,05h34m15 -37° 10',3,Swift,,y,y,,,1
GRB180329B,05h31m40 -23° 42',3,Swift,,y,y,,,1.998
GRB180325A,10h29m44 +24° 26',3,Swift,y,y,y,,,2.248
GRB180314A,06h37m06 -24° 29',3,Swift,y,y,y,,,1.445
GRB180205A,08h27m17 +11° 33',3,Swift,y,y,y,,,1.409
GRB180115A,00h48m18 -15° 36',3,Swift,,y,y,,,2.487
GRB171222A,09h53m10 +35° 37',3,Swift,y,y,y,,,2.409
GRB171205A,11h09m47 -12° 36',3,Swift,y,y,y,y,,0.0368
GRB171020A,02h37m03 +15° 11',3,Swift,,y,y,,,1.87
GRB171010A,04h26m58 -10° 32',14,Fermi,y,y,y,y,,0.3285
GRB170903A,16h58m03 +34° 59',3,Swift,y,y,,n,,0.886h
GRB170817A,12h47m00 -39° 48',700,Fermi,y,y,y,y,,0.009783h
GRB170728B,15h52m11 +70° 09',3,Swift,y,y,y,n,,1.27h
GRB170728A,03h55m35 +12° 09',3,Swift,,y,y,n,,1.49h
GRB170714A,02h17m17 +01° 59',3,Swift,,y,y,y,,0.793
GRB170705A,12h46m49 +18° 18',3,Swift,y,y,y,,,2.01
GRB170607A,00h29m22 +09° 14',3,Swift,y,y,y,,,0.557
GRB170604A,22h50m35 -15° 25',3,Swift,y,y,y,,,1.329
GRB170531B,19h07m35 -16° 26',3,Swift,,y,y,,,2.366
GRB170519A,10h53m48 +25° 23',3,Swift,,y,y,n,,0.818
GRB170428A,22h00m15 +26° 55',3,Swift,y,y,y,,,0.45h
GRB170405A,14h39m14 -25° 15',3,Swift,y,y,y,,,3.51
GRB170214A,17h05m19 -01° 53',4.8,Fermi,y,y,y,,,2.53
GRB170202A,10h10m07 +05° 00',3,Swift,,y,y,,,3.645
GRB170127B,01h19m47 -30° 20',3,Swift,y,y,,,,2.2phh
GRB170113A,04h06m36 -71° 55',3,Swift,y,y,y,,,1.968
GRB161219B,06h06m52 -26° 47',3,Swift,y,y,y,y,,0.1475
GRB161129A,21h04m46 +32° 07',3,Swift,y,y,y,,,0.645
GRB161117A,21h28m17 -29° 38',3,Swift,y,y,y,,,1.549
GRB161108A,12h03m08 +24° 52',3,Swift,,y,y,n,,1.159
GRB161104A,05h11m31 +51° 27',3,Swift,,y,,,,0.79h
GRB161023A,20h44m08 -47° 40',2.6,INTEGRAL,y,y,y,,,2.708
GRB161017A,09h31m04 +43° 08',3,Swift,y,y,y,n,,2.013
GRB161014A,22h10m31 +07° 29',3,Swift,y,y,y,n,,2.823
GRB161001A,04h47m39 -57° 17',3,Swift,y,y,y,,,0.67phh
GRB160821B,18h39m57 +62° 24',3,Swift,y,y,y,y,,0.16h
GRB160804A,14h46m33 +10° 00',3,Swift,y,y,y,,,0.736
GRB160703A,19h09m34 +36° 54',3,Swift,y,y,y,,,<1.5ph
GRB160629A,00h19m17 +76° 59',3.1,INTEGRAL,y,y,y,,,3.332
GRB160625B,20h33m04 +06° 54',3,Fermi,y,y,y,y,,1.406
GRB160624A,22h00m49 +29° 38',3,Swift,y,y,,,,0.483h
GRB160623A,21h00m58 +42° 16',6,Fermi,y,y,y,y,,0.367
GRB160509A,20h40m24 +76° 00',30,Fermi,y,y,y,y,,1.17
GRB160425A,18h41m15 -54° 22',3,Swift,,y,y,,,0.555
GRB160410A,10h02m43 +03° 27',3,Swift,y,y,y,,,1.717
GRB160408A,08h10m14 +71° 08',3,Swift,y,y,y,,,1.9phh
